,C0,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C40,C41,C42,C43,C44,C45,C46,C47
32,CARS,CISH,CNOT8,DGKA,HDAC4,LLNLF-96A1.1,XAF1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,CCDC71L,CLINT1,CNPPD1,DOCK5,HELZ2,LPAR4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,CD81,CLIP1,COL18A1,EDF1,HGS,LRAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,CDH1,CLPB,COPG1,ELMO1,HOOK1,LRTM1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,CDK11A,CLTA,COPZ1,ERLIN1,IL1B,MATR3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,CDK5RAP3,CMPK1,COQ10B,ETFDH,IL4R,ME2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,CDKN2D,CPD,CSTB,FAM120A,ILF3,NCALD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,CEACAM3,CPVL,CYTH1,FBRS,INPPL1,NMRK1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,CENPB,CR1,DDX5,FCGBP,IVNS1ABP,NOVA1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,CHMP4C,CTDSP2,DENND4B,FCGR2A,KDM6B,NPAS3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,CLDN23,DDX17,DGKA,FCGR2A,LARP1,OR10H5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,CLEC4A,DENND3,DHX36,FCHO1,LFNG,ORC6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,CLK3,DNAJB2,DLST,FLT1,LILRB2,OTUD7B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,CNDP2,DNM2,DNAJB9,FOXJ2,LTN1,PAX5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,CSF2RA,DUSP6,DOCK8,FOXK1,LZTS2,PAX6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,CSNK2A2,DYSF,DUOX2,FUT3,MED12,PDGFA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,CYB5D1,DYSF,DYNC1LI2,GATAD2A,MGAT5,PGBD4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,CYBA,EFHC1,EGLN2,GIGYF1,MICAL2,PPARA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,CYHR1,ELF4,EGR3,HECA,MME,PSG2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,CYSTM1,ELL2,EIF3J,HIST1H2AC,MMP19,RAP1GAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
